10949|"Performance Tuning for BPM and SOA 11g "|12255|"Mark Nelson"
10950|"Building a custom BPM worklist "|12255|"Mark Nelson"
10951|"How to make sure your ADF application meets tomorrow's needs?"|54416|"Jobinesh Purushothaman"
10952|"Scaling Oracle RAC in Virtualized/Cloud Environment "|136436|"Kannan Mani"
10953|" A Q&A Session With Richard Foote on Oracle Indexes"|117380|"Richard Foote"
10954|"The DBA: an architect or an administrator?"|136043|"Julian Dontcheff"
10955|"11g XE beta: Oracle Database Express Edition"|136043|"Julian Dontcheff"
10956|"Auditing vs. Performance in the Oracle Database"|136043|"Julian Dontcheff"
10957|"Features unique to Oracle and missing from all other databases"|136043|"Julian Dontcheff"
10958|"Advanced MySQL Replication For The Masses"|136437|"Giuseppe Maxia"
10959|"Edition Based Redefinition - an Overview"|25023|"alex nuijten"
10960|"Analytic Functions Revisited"|25023|"alex nuijten"
10961|"Oracle Forms Modernization: The PL/SQL Way"|136446|"Yalim Gerger"
10962|"11gR2 ASM – Inside story – Part1 (Grid infrastructure installation) "|126693|"Wissem EL KHLIFI"
10963|"Administration of Automatic Diagnostic Repository (ADR)"|89810|"Fahd Mirza"
10964|"Can Social Media be the next big lever for Business Intelligence?"|136454|"Karan Chadha"
10965|"Fusion Applications Learning Path"|11005|"Debra Lilley"
10966|"What Do Fusion Apps Tell You About your Own Enterprise?"|11005|"Debra Lilley"
10967|"Overcoming the Implementation Challenges, Engineering & Construction Sector "|92089|"Gasser Osman"
10968|"11g Best Practices for using Partitioning in HA Environments and VLDB"|98305|"Ami Aharonovich"
10969|"Administering Parallel execution in RAC"|136464|"Riyaj Shamsudeen"
10970|"Oracle RAC Interview Q/A Interactive Competition"|81204|"Tariq Farooq @BrainSurface"
10971|"Oracle VM: Overview, Architecture, Deployment Planning & Demo/Exercise"|81204|"Tariq Farooq @BrainSurface"
10972|"Oracle SQL Developer Best Practices for Fast and Enhanced Database Development"|98305|"Ami Aharonovich"
10973|"RAC or Not, Here I come!"|136464|"Riyaj Shamsudeen"
10974|"Overview & Implementation of Clustering & High Availability with Oracle VM"|81204|"Tariq Farooq @BrainSurface"
10975|"Best Practices for doing day-to-day DBA tasks using Oracle SQL Developer 3.0"|98305|"Ami Aharonovich"
10976|"360 Degree Overview of Oracle Cloud Computing Paradigms & Technologies"|81204|"Tariq Farooq @BrainSurface"
10977|"Migrate Your Online Oracle Database to RAC Using Streams and Data Pump"|81204|"Tariq Farooq @BrainSurface"
10978|"Hello Worldwide Web: Your First JSF in JDeveloper 11g"|60595|"peter koletzke"
10979|"Database Performance Tuning: Getting the best out of Oracle Enterprise Manager"|81204|"Tariq Farooq @BrainSurface"
10980|"Introduction to Java-PL/SQL Developers Take Heart"|60595|"peter koletzke"
10981|"360 Degrees: Building a Private Oracle EBS Cloud using Oracle VM"|81204|"Tariq Farooq @BrainSurface"
10982|"Deploying Applications to WebLogic Server Using JDeveloper and WLS "|60595|"peter koletzke"
10983|"360 Degrees - Achieving High Availability for Enterprise Manager Grid Control"|81204|"Tariq Farooq @BrainSurface"
10984|"... and UIX Begat ADF Faces: How Rich is ADF Faces Rich Client?"|60595|"peter koletzke"
10985|"Analyzing your Data with Analytic Functions "|73777|"Carl Dudley"
10986|"Tools and techniques for advanced debugging in Solaris & Linux"|136464|"Riyaj Shamsudeen"
10987|"Tuning log file sync event"|136464|"Riyaj Shamsudeen"
10988|"Considerations for optimal setup in RAC"|136464|"Riyaj Shamsudeen"
10989|"R12 Implementation Success Story"|118558|"Suzanne Larabie"
10990|"Automating your controls with GRCC"|118558|"Suzanne Larabie"
10991|"Flashback Features in Oracle11g"|73777|"Carl Dudley"
10992|"Oracle RAC One-Node: What, Why, & How"|30926|"Asif Momen"
10993|"Oracle Database Performance Tuning: Get the Basics Right"|30926|"Asif Momen"
10994|"Complex Flexfield Validations"|134952|"Arian Stijf"
10995|"Make it Happen with the Business Event System"|134952|"Arian Stijf"
10996|"Diagnosing the eBusiness Suite"|134952|"Arian Stijf"
10997|"Ten New Forms and OAF Personalization Examples for R12.1"|136481|"Susan Behn"
10998|"What's New in Diagnostics - New Features in 12.0.6, 12.1.1, 12.1.2 and 12.1.3"|136481|"Susan Behn"
10999|"R12 Function and Data Security - UMX and Role Based Access Control"|136481|"Susan Behn"
11000|"Thinking 'Out of the box' - Oracle HCM for Dummies"|136480|"Tim Warner"
11001|"Rolling With The Punches - Adventures in Exadata Patching"|136482|"Andy Colvin"
11002|"Maximizing Exadata's Infiniband Network"|136482|"Andy Colvin"
11003|"Performance Tuning Oracle SOA Suite 11g - Top 11 Tuning Tips"|136483|"Ahmed Aboulnaga"
11004|"Getting Starting with Oracle Application Integration Architecture Development"|136483|"Ahmed Aboulnaga"
11005|"On the most common mistakes made by DBAs when writing CVs/Resumes"|136043|"Julian Dontcheff"
11006|"no comprende Señor – Translate your APEX Application"|48035|"Peter Raganitsch"
11007|"Become a Champion Data Modeler with SQL Developer Data Modeler 3.0"|136506|"Marc de Oliveira"
11008|"SQL Developer Data Modeler 3.0 Under the Covers: The Reporting Schema"|136506|"Marc de Oliveira"
11009|"SQL Developer Data Modeler/APEX Integration"|136506|"Marc de Oliveira"
11010|"Oracle Application Development Framework performance testing. Real experience."|136413|"Eugene Fedorenko"
11011|"Siebel Configuration Management and Migration - Challenges and Solutions"|136509|"Deepak Thuse"
11012|"Key Questions to Ask When Planning Your Upgrade "|136510|"Steve Erickson"
11013|"RMAN 11g new features with practical demonstrations"|107403|"Kamran Agayev"
11014|"Using the Oracle UPK for Collaborative e-Learning Development: A Review"|135933|"Jean-Daniel AZUELOS"
11015|"Speed up your ADF Fusion application"|26743|"Frank Houweling"
11016|"Enterprise Content Protection with Oracle Entitlements Server"|16963|"Matt Topper"
11017|"How DBAs can reduce the Global Warming "|136432|"Satyendra Pasalapudi"
11018|"Applying Test Driven Development (TDD) within JDeveloper"|136521|"Mark Rajpal"
11019|"New Solaris Hotplug Framework"|136523|"Yong Zou"
11020|"Benefiting ODI in a heterogeneous environment in Telco"|120702|"Gurcan Orhan"
11021|"Challenges in Implementing Oracle E-Business Suite on Windows with 100% Uptime"|136535|"Shiva Prasad Vuppala"
11022|"Effectively using Oracle Data Guard for multiple purposes "|136547|"emre baransel"
11023|"Primavera P6 R8 Integration with Ebusiness Suite R12 Case Study"|136550|"Rajesh sharma"
11024|"Processing massive CDRs of Turkcell using Oracle Data Integrator, Exadata, APEX"|120515|"Necdet Deniz Halıcıoğlu"
11025|"Weblogic /Coherence"|131791|"Peter Rajesh Joseph Karunanidhi"
11026|"Simplified planning and forecasting using Hyperion Financial Management "|136562|"Ingvild Haugnes"
11027|"Utilities Solution Template on Oracle platform to enable AMI integration"|136546|"Sougoto Mukherjee"
11028|"Offload Reporting worklod using Snapshot Standby"|107904|"Ravi Madabhushanam"
11029|"Creative Accounting:  Use of a Project Segment in your COA"|33924|"Thomas Simkiss"
11030|"Mobile and Multi-Platform Engagement with Oracle ATG"|136662|"Jason Taylor"
11031|"Mobile and Multi-Platform Engagement with Oracle ATG"|136662|"Jason Taylor"
11032|"Managing Unstructured Data: Lobs, SecureFiles, BasicFiles "|136668|"Michael Rosenblum"
11033|"Transformation into a Demand Driven Value Chain -Challenges & Leading Practices "|136678|"Chandrashekhar Pandey"
11034|"How can Oracle Distribution Planning help reduce distribution costs? "|136678|"Chandrashekhar Pandey"
11035|"Facebook for Oracle ! All about Oracle WebCenter for non technical folks"|107438|"M.A. Haseeb"
11036|"Oracle E-Business Suite running on Oracle VM and Oracle Linux"|11940|"Gustavo Gonzalez"
11037|"Embedding Custom Forms and Reports within Contract Management"|65688|"Peter VanSickler"
11038|"Embedding Custom Forms and Reports within Contract Management"|65688|"Peter VanSickler"
11039|"Making Enterprise Architecture real. A day in the life of an EA."|114272|"Faisal Ghadially"
11040|"Top lessons learnt in building an integrated Web Center and SOA 11g application"|114272|"Faisal Ghadially"
11041|"Oracle Primavera Portfolio Management provides great value to the US Air Force  "|136709|"Carolyn Reid"
11042|"Resolving Buffer Busy Related Contention"|136713|"Craig Shallahamer"
11043|"Unit of Work Time Based Performance Analysis"|136713|"Craig Shallahamer"
11044|"Resolving The Free Buffer Waits Event"|136713|"Craig Shallahamer"
11045|"Learning Oracle with Oracle VM Virtualbox"|90686|"Leighton L. Nelson"
11046|"How to Seamlessly Deploy Oracle SOA Projects Across Multiple Environments"|136374|"Yuan Meng"
11047|"Accelerated Interface Development Approach - Integration Framework"|136718|"Sandip Nikumbha"
11048|"Remote SOA - Siebel Local Web Services Implementation"|136718|"Sandip Nikumbha"
11049|" Storage Tiering for Oracle Database "|136416|"Sai Mukundan"
11050|"Co-Existence with Fusion Applications - Have You Thought About Customizations?"|118497|"Hiranmay Sarkar"
11051|"Test abstract"|127746|"Varinder Verma"
11052|"Running Solaris Operating System on Oracle VM for x86"|136755|"Xiang-Dong Che"
11053|"Mobile ERP: The time is now!"|136765|"Kamaljeet Bhatia"
11054|"TimesTen: how to create your first database and what pitfalls to avoid"|136579|"Roland Stirnimann"
11055|"Demystifying Universal Adapters in Oracle BI Apps"|136785|"Nirav Vora"
11056|"From Dev to DevOps"|136791|"Carlos Sanchez"
11057|"Optimized Resource Management Using OVM for RAC One Node"|76599|"Balamurugan B"
11058|"Enhanced DB performance using Flash Cache & Oracle UEK"|76599|"Balamurugan B"
11059|"Critical Success Factors for Oracle PIM Implementation "|136814|"Nandakumar Balasubramanian"
11060|"We trained you - why didn't you learn? A case study in Change Management"|136682|"Anil Goel"
11061|"How to ensure Safety and Traceability in the Food Chain?"|136638|"Manish Makhija"
11062|"Oracle RAC on Oracle VM: Best Practices & New Feature Sets"|76154|"Roger Lopez"
11063|"Audit Vault: Part of Total Security@the Ministry of the Brussels Capital Region"|67749|"Patrick Dewael"
11064|"How not to lose your ASM disks on Linux"|136834|"Gary Gordhamer"
11065|"Optimizing Enterprise Linux Performance"|136853|"Adam Miller"
11066|"Moving Prisoners and Illegal Aliens with Oracle – JPATS “The Real ConAir”"|136841|"Roger Dashevsky"
11067|"Data Quality Management Tool With Oracle Application Express"|136695|"Burak ISIKLI"
11068|"Strategy for the first implementation with Oracle BPM 11g"|136868|"Mariano Benitez"
11069|"Oracle Localizations for Brazil- Key Features & Capabilities"|125577|"dattatray patil"
11070|"IT Is from Mars, Business Is from Venus"|136868|"Mariano Benitez"
11071|"Tailoring AR Invoices with Bill Presentment Architecture (BPA)"|125577|"dattatray patil"
11072|"Wanna accelerate implementation time for New country enablements?"|125577|"dattatray patil"
11073|"10 Ways ADF Business Components Can Improve a Developer's Life"|10553|"John Flack"
11074|"Enabling global collaboration and information sharing with Oracle Enterprise 2.0"|72254|"Arjan Kramer"
11075|"Five Features You Ought to Know About the Oracle Scheduler"|10297|"Eddie Awad"
11076|"Slashing Manual Input with Oracle Document Capture"|62181|"Dmitri Khanine"
11077|"R12 Happy Hour!"|83384|"BILL DUNHAM"
11078|"Simplifying the PeopleSoft-Maximo Integration – a Best Practice Approach"|25576|"Ed Bouryng"
11079|"Automating Public Sector Projects with PeopleSoft ESA"|119029|"Michelle Oltmans"
11080|"A Best -Of-Breed Approach to Integrated Project Management"|136902|"Keith Vibbard"
11081|"Are you ready for Siebel Application Integration for Oracle Fusion Middleware?"|136718|"Sandip Nikumbha"
11082|"Enabling the Internal Cloud "|118636|"Padmanabhan Sadagopan"
11083|"Oracle VM and Storage Best practices "|118636|"Padmanabhan Sadagopan"
11084|"A Methodology for Oracle Server Stress Testing"|22586|"Arsalan Dehghani Sari- Yarghan"
11085|"Tuning Inter-Instance Performance in RAC and OPS"|22586|"Arsalan Dehghani Sari- Yarghan"
11086|"MySQL Optimizer overview and Performance Enhancements"|136934|"Manyi Lu"
11087|"Unleash the Potent of calculating tax for Employees in Payables"|136974|"SABARI KANNAN SEETHARAMAN"
11088|"Unleash AOP into your Coherence Application Grid"|37511|"Beide Wang"
11089|"Building a Customizable Web Portal in 30 Minutes using Webcenter Suite"|106226|"Zeeshan Baig"
11090|"Integrating Oracle Agile PLM For Process and Computer Aided Design"|107756|"Kumar L"
11091|"'No Impact to Production', a predicament for Rollout / Production Enhancements"|137006|"Ashish Srivastava"
11092|"Planning for Release 12 "|21528|"Alyssa Johnson"
11093|"The Architectural Efficiency of Cloud Solutions"|137010|"George Zakharia"
11094|"Oracle Financial 12.0.3 to 12.1.3 Upgrade- Func/Tech Planning & Lessons Learned "|137027|"Bernie Blanchard"
11095|"Getting Real with Oracle ECM 11g – Benefits & Lessons Learned from Going Live "|77622|"Debbie Horton"
11096|"Mastering Records Management and Retention Policies with Oracle ECM 11g "|77622|"Debbie Horton"
11097|"Oracle ECM & PeopleSoft/JDE – A Synergistic Combination "|77622|"Debbie Horton"
11098|"Deliver High Availability/Demand, Secure & Real Time Processing on Oracle Cloud"|118532|"Suresh Iyer"
11099|"Case Study: Deliver engaging Self Service with an additional PeopleSoft portal"|10118|"Duncan Davies"
11100|"Case Study: How The Cloud accelerated the PeopleSoft project of a UK retailer"|10118|"Duncan Davies"
11101|"Completing the incomplete circle of claiming in Channel Revenue Management"|137100|"Pawan Dwivedi"
11102|"Simplifying Work Order management in the utility market with Oracle BPM"|58365|"Leon Smiers"
11103|"A new beginning for outsourcing closed book insurance policy administration "|137135|"Alison Coombe"
11104|"Transform Your Life Business By Transforming Your Legacy "|137135|"Alison Coombe"
11105|"A Differentiated Claims Experience enabling Operational Transformation "|137135|"Alison Coombe"
11106|"Next Generation Banking: The Branch Is Here to Stay "|137135|"Alison Coombe"
11107|"Benchmark your Business Agility: World Insurance Report 2011 "|137135|"Alison Coombe"
11108|"Intergration of Oracle Identity management with Oracle and 3rd party products"|136471|"Michael Miller"
11109|"Introduction to BI Publisher in R12: Getting Started"|23407|"Brent Lowe"
11110|"BIP Delivery Manager in R12.1.3: Truths and Opportunities"|23407|"Brent Lowe"
11111|"What’s new in BI Publisher 11g – EVERYTHING!"|23407|"Brent Lowe"
11112|"Is BI By Duct Tape and Bailing Wire Really BI?"|36984|"Todd Sheetz"
11113|"R12: Modern Medicine For Your Company's Longterm Wellness"|35065|"Nancy Lochman"
11114|"Oracle Essbase and Project Analytics for Federal Compliance"|136407|"Kristina Troutman"
11115|"Operational reporting Oracle BI Publisher and JD Edwards becomes success story"|137170|"Raymond Verhoef"
11116|"UPK -> UPK Pro: moving up one level by supplying real training material"|65549|"Rob Boutmy"
11117|"Oracle BI Action Framework - Actionable Intelligence Study"|136407|"Kristina Troutman"
11118|"New mode in UPK: Explorative mode! Find out how it works"|65549|"Rob Boutmy"
11119|"Integrating Hyperion Financial Management and OBIEE 11g"|136407|"Kristina Troutman"
11120|"Organizational Alignment - The Key to OSSM Success"|136407|"Kristina Troutman"
11121|"Opportunity to Cash: Architecting the Ultimate Closed Loop with OBIEE"|136407|"Kristina Troutman"
11122|"Alterative solution to GASB 34/35 Reporting in R12 with Single Asset Book"|53597|"Subash Krishnaswamy"
11123|"Real time shopfloor visibility with Oracle Manufacturing Execution System in R12"|110344|"Vishal Choudhari"
11124|"Enable your sales organizations to go Social with Oracle Fusion Sales"|127066|"Sushal Shetty"
11125|"Performance Gains Through Unbreakable Enterprise Kernel"|76061|"Naveen Iyengar"
11126|"how to setup high availability for Oracle Grid Control using dataguard and RMAN"|43403|"cigana cigana"
11127|"Everyday life of Database Machine Administrators"|92530|"Paulo Portugal"
11128|"A new fault tolerance oracle system"|92417|"Thaar Al_taiey"
11129|"Best Practices for Addressing 5 Common Service Delivery Challenges in the Cloud"|136881|"Russell Rothstein"
11130|"Financial Services Best Practices for Risk Management and Compliance"|104934|"Aruna Inalsingh"
11131|"Key Factors of Oracle eBiz Adoption"|137204|"Judy Warfield"
11132|"Using Excel and Oracle for Business Intelligence and Ad-Hoc Reporting"|67272|"Russell Tront"
11133|"Enabling Oracle OLAP for Enterprise Business Intelligence"|67272|"Russell Tront"
11134|"Simplify and Accelerate using Oracle OLAP to Eliminate BI Mid-Tiers"|67272|"Russell Tront"
11135|"Mobile ERP/HR Application through SOA Middleware and Frameworks"|118791|"Balamohan Manickam"
11136|"Enabling Abu Dhabi to attain their vision of top 5 global eGovernments"|137146|"Pranjal Khalap"
11137|"Making the case for AIA"|28093|"Ruben Spekle"
11138|"Governance of a complex landscape: Enterprise Manager and then what?"|28093|"Ruben Spekle"
11139|"Integration Features in Oracle MDM Suite - A Deep Dive and Comparison"|136796|"Ram Sirish Pinneli"
11140|"Oracle CRM On-Demand – Integration with other IT systems"|121002|"Laurent Farci"
11141|"Improved Integration Agility with SOA 2.0 and the Event Delivery Network"|95688|"Brad Bukacek Jr"
11142|"Exadata: Failure is not an Option"|118863|"Christo Kutrovsky"
11143|"Exadata Datawarehousing: Parallel Query Challenges"|118863|"Christo Kutrovsky"
11144|"Practical Insights on Oracle Application Server 10G to WebLogic 11G Migration"|126795|"Jebaraj Jothimoni"
11145|"Setting up for a Successful Oracle R12 Implementation"|137294|"Salli Churchill"
11146|"Top 10 Reasons for SMB's to Implement Oracle R12"|137294|"Salli Churchill"
11147|"Dashboard 2.0 : Data Insight with Oracle ADF Data Visualization Tools"|112055|"Luc Bors"
11148|"What an Oracle ADF Faces Developer should know about JSF 2.0"|112055|"Luc Bors"
11149|"Expedite SOA development using AIA"|119703|"Mohammed Sabir"
11150|"Implementing core HCM solution in a reduced time and cost"|137298|"Marcelo Satriani"
11151|"Challenges of Human Capital Management in the flat world"|137298|"Marcelo Satriani"
11152|"Grow your business by adding social media to your eCommerce web sites"|137329|"Robert Carini"
11153|"Implementing Oracle 11g Enterprise Manager for Prime Time Monitoring"|137337|"Surya Nalluri"
11154|"ADF UI based on Webservice Datacontrol"|120452|"Mahesh Chimbili"
11155|"Multi-GAAP Accounting and Reporting in Oracle Financials Accounting Hub "|135220|"Bharati Manjeshwar"
11156|"Handling Dimension Manufacturing in E-Biz"|137356|"Ahmed Hossni"
11157|"Reduce your deployment / maintenance downtime window for JDE "|137371|"Suma Nair"
11158|"Build your own 'High-Secure system' with JDE EnterpriseOne security features "|137371|"Suma Nair"
11159|"Build your own 'High-Secure system' with JDE EnterpriseOne security features"|137371|"Suma Nair"
11160|"Tool to speed up JDE production releases without compromising on quality"|137371|"Suma Nair"
11161|"Audit implementation & improve business with right security model in World & E1"|137371|"Suma Nair"
11162|" Integrate your 3PL with JDE using Oracle Fusion Middleware"|137371|"Suma Nair"
11163|"Lack of integration from retail side of your business to your JDE Back Office"|137371|"Suma Nair"
11164|"Driving productivity improvements with JD Edwards Capital Asset Management (CAM)"|137371|"Suma Nair"
11165|"Minimizing production delays through accurate scheduling "|137371|"Suma Nair"
11166|"Get truly global with base currency conversion"|137371|"Suma Nair"
11167|"Ensuring ROI from ERP Projects"|137371|"Suma Nair"
11168|"MobileBI - extending BI beyond consumers’ desk"|137371|"Suma Nair"
11169|"Evaluating SaaS and cloud solution-BI OnDemand"|137371|"Suma Nair"
11170|"Reduce JDE invoice processing cost & cycle time with document capture & imaging "|137371|"Suma Nair"
11171|"Leveraging Oracle GoldenGate to improve JDE Migration "|137371|"Suma Nair"
11172|"Implementing JD Edwards in Brazil? "|137371|"Suma Nair"
11173|"SharePoint extends JD Edwards for effective collaboration with Partners"|137371|"Suma Nair"
11174|"Oracle JD Edwards = Extreme Performance for JDE users"|137371|"Suma Nair"
11175|"Migration from CreateForm to Oracle BI Publisher "|137371|"Suma Nair"
11176|"Complex Global Upgrade under 300K with least disruption"|137371|"Suma Nair"
11177|"JDE Technical Upgrade - Planning, Considerations"|137371|"Suma Nair"
11178|"Achieve a competitive advantage by extending JD Edwards with Oracle Webcenter "|137371|"Suma Nair"
11179|"Are Paper intensive processes slowing you down?"|137371|"Suma Nair"
11180|"Future-proof your JDE upgrade investment by leveraging  Oracle SOA 11g "|137371|"Suma Nair"
11181|"How to read and understand Execution Plans"|34319|"Randolf Geist"
11182|"Query Transformations"|34319|"Randolf Geist"
11183|"Tuning Exadata"|136896|"Kerry Osborne"
11184|"Reaping the Benefits of FAH on Exadata: Accomplish Fast Close using Oracle"|98358|"Sujoy Hajra"
11185|"Is your enterprise swimming in Information,without Insights?-Here’s a solution"|137416|"Sirish Newlay"
11186|"Best Practices for Advanced Collections in Wholesale Distribution Industry"|77109|"Natarajan Chandrasekaran"
11187|"Oracle Fusion Apps: Extensibility - An effective Cost & Time Saving approach"|137430|"Rethinavelu Periyasamy"
11188|"Managing Data Quality in a multi application environment"|137439|"Gautam Begde"
11189|"Learn Oracle Fusion Applications Lifecycle Management"|118636|"Padmanabhan Sadagopan"
11190|"Oracle GoldenGate - Middleware and Storage Best Practices"|118636|"Padmanabhan Sadagopan"
11191|"Best Practices in Designing Scalable Batch Programs in Oracle R12 EBS"|91304|"Raghavendra Rao"
11192|"Reporting Challenges in the Public Sector"|90731|"Chad Johnson"
11193|"Wiki as a Public Sector E-Business Suite Knowledge Repository"|90731|"Chad Johnson"
11194|"	Data Guard in an E-Business Suite Environment"|90731|"Chad Johnson"
11195|"Shared Service Center Optimization Through a Global Transformation of Release 12"|117298|"Chris Busbee"
11196|"Minimizing Total Cost of Ownership of ERP: Remodeling Current EBS Configurations"|117298|"Chris Busbee"
11197|"Half the Battle of R12: How to Go Live in Half the Time and for Half the Cost"|117298|"Chris Busbee"
11198|"Designing a Scalable Chart of Accounts for R12 and Subledger Accounting"|117298|"Chris Busbee"
11199|"Don’t Forget Your History: Keeping Historical Transactions for EBS Release 12"|117298|"Chris Busbee"
11200|"Converged I/O Solutions for Virtualized Oracle Workloads"|137499|"Gina Geisel"
11201|"8Gb/s Fibre Channel - Obtaining peak I/O performance in OLTP environments"|137507|"Joel Jensen"
11202|"8Gb/s Fibre Channel - Obtaining peak I/O performance in OLTP environments"|137507|"Joel Jensen"
11203|"Case Study on approaches for Oracle Time and Labor"|118849|"Shabir Firdaus"
11204|": Rapid migratio! n of VLDBs from 10g/SRDF to Exadata/Data Guard "|137549|"Rahul Pednekar"
11205|"Oracle is Easy: Virtualize it!  "|136079|"Roddy Rodstein"
11206|"Surviving R12 Jumanji - 10 Keys to a Successful Implementation"|124230|"JEFF BAUSERMAN"
11207|"FS Firm Enhances Sourcing & Supplier Management Using Fusion Procurement"|137571|"Christopher Black"
11208|"Can SharePoint and Oracle ECM Co-Exist?  Yes!"|137562|"Jason Lamon"
